area,bedrooms,bathrooms,stories,parking,age,location,price
1200,2,2,1,1,10,Jaipur,4500000
1500,3,2,2,1,5,Jaipur,6500000
1800,3,3,2,2,3,Udaipur,7500000
2200,4,3,2,2,2,Delhi,12000000
1000,2,1,1,0,15,Udaipur,3500000
1300,2,2,1,1,8,Jaipur,5000000
1600,3,2,2,1,6,Jaipur,6800000
1900,3,3,2,2,4,Udaipur,8000000
2400,4,3,2,2,5,Delhi,13500000
1100,2,1,1,1,12,Kota,3800000
1400,3,2,1,1,9,Ajmer,5200000
1700,3,2,2,2,7,Jodhpur,6200000
2000,4,3,2,2,4,Jaipur,9500000
2500,4,4,2,3,3,Delhi,15000000
900,2,1,1,0,18,Kota,3000000
1250,2,2,1,1,7,Jaipur,4800000
1550,3,2,2,1,5,Ajmer,5700000
1850,3,3,2,2,6,Udaipur,7300000
2100,4,3,2,2,3,Jodhpur,8500000
2700,5,4,2,3,2,Delhi,17500000
1050,2,1,1,1,14,Kota,3600000
1350,3,2,1,1,10,Ajmer,4900000
1650,3,2,2,1,8,Jodhpur,5900000
1950,4,3,2,2,5,Jaipur,8800000
2300,4,3,2,2,4,Udaipur,10500000
2800,5,4,3,3,3,Delhi,19000000
1150,2,1,1,1,11,Kota,4000000
1450,3,2,2,1,7,Jaipur,6100000
1750,3,3,2,2,5,Udaipur,7200000
2050,4,3,2,2,6,Jodhpur,8000000
2600,4,4,3,3,2,Delhi,16500000
950,2,1,1,0,20,Kota,2900000
1280,2,2,1,1,9,Ajmer,4600000
1580,3,2,2,1,6,Jaipur,6400000
1880,3,3,2,2,4,Udaipur,7900000
2180,4,3,2,2,5,Jodhpur,9000000
2450,4,4,2,3,3,Delhi,14000000
1020,2,1,1,1,13,Kota,3400000
1320,3,2,1,1,8,Ajmer,5100000
1620,3,2,2,1,5,Jodhpur,6000000
1920,4,3,2,2,7,Jaipur,8200000
2250,4,3,2,2,4,Udaipur,9800000
2900,5,4,3,3,2,Delhi,20500000
1080,2,1,1,0,16,Kota,3200000
1380,3,2,1,1,9,Ajmer,5000000
1680,3,2,2,2,6,Jaipur,6700000
1980,4,3,2,2,5,Jodhpur,8400000
2350,4,4,2,3,3,Udaipur,11500000
2550,5,4,3,3,4,Delhi,16000000
1180,2,2,1,1,10,Jaipur,4400000
1480,3,2,2,1,6,Jaipur,6300000
1780,3,3,2,2,5,Udaipur,7100000
